Handle,Title,Option1 Value,Option1 Name,Option2 Value,Option2 Name
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,Color,Light brown,Size,S
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,Color,Light brown,Size,M
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,Color,Light brown,Size,L
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,Color,Light brown,Size,XL
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,Color,Light brown,Size,XXL
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,Color,Blue,Size,S
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,Color,Blue,Size,M
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,Color,Blue,Size,L
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,Color,Blue,Size,XL
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,Color,Blue,Size,XXL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,Color,Black,Size,S
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,Color,Black,Size,M
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,Color,Black,Size,L
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,Color,Black,Size,XL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,Color,Black,Size,XXL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,Color,Black,Size,3XL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,Color,Black,Size,4XL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,Color,Black,Size,5XL
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,Color,Black,Size,S
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,Color,Black,Size,M
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,Color,Black,Size,L
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,Color,Black,Size,XL
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,Color,Black,Size,2XL
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,Color,Blue,Size,S
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,Color,Blue,Size,M
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,Color,Blue,Size,L
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,Color,Blue,Size,XL
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,Color,Blue,Size,2XL
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,Color,Blue,Size,3XL
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,Color,Blue,Size,4XL
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,Color,Blue,Size,5XL
leopard-print-maxi-dress,Leopard Print Maxi Dress,Color,Blue,Size,S
leopard-print-maxi-dress,Leopard Print Maxi Dress,Color,Blue,Size,M
leopard-print-maxi-dress,Leopard Print Maxi Dress,Color,Blue,Size,L
leopard-print-maxi-dress,Leopard Print Maxi Dress,Color,Blue,Size,XL
leopard-print-maxi-dress,Leopard Print Maxi Dress,Color,Blue,Size,2XL
leopard-print-maxi-dress,Leopard Print Maxi Dress,Color,Blue,Size,3XL
leopard-print-maxi-dress,Leopard Print Maxi Dress,Color,Blue,Size,4XL
leopard-print-maxi-dress,Leopard Print Maxi Dress,Color,Blue,Size,5XL
never-letting-go-white-shirtdress,Never Letting Go White Shirtdress,Color,White,Size,S
never-letting-go-white-shirtdress,Never Letting Go White Shirtdress,Color,White,Size,M
never-letting-go-white-shirtdress,Never Letting Go White Shirtdress,Color,White,Size,L
never-letting-go-white-shirtdress,Never Letting Go White Shirtdress,Color,White,Size,XL
never-letting-go-white-shirtdress,Never Letting Go White Shirtdress,Color,White,Size,2XL
vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Vintage Elegant Floral Long Sleeves A-line Casual Dresses,Color,Brown,Size,S
vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Vintage Elegant Floral Long Sleeves A-line Casual Dresses,Color,Brown,Size,M
vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Vintage Elegant Floral Long Sleeves A-line Casual Dresses,Color,Brown,Size,L
