Handle,Title,Option1 Value,Option1 Name,Option2 Value,Option2 Name
floral-print-o-neck-maxi-dress,,Color,Light brown,Size,S
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,,Light brown,Size,M
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,,Light brown,Size,L
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,,Light brown,Size,XL
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,,Light brown,Size,XXL
long-sleeve-flower-print-loose-dress,Floral Print O Neck Maxi Dress,,Blue,Size,S
long-sleeve-flower-print-loose-dress,,Color,Blue,Size,M
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,,Blue,Size,L
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,,Blue,Size,XL
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,,Blue,Size,XXL
flower-printing-long-sleeve-dress,Long Sleeve Flower Print Loose Dress,,Black,Size,S
flower-printing-long-sleeve-dress,Long Sleeve Flower Print Loose Dress,,Black,Size,M
flower-printing-long-sleeve-dress,,Color,Black,Size,L
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,Size,XL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,Size,XXL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,Size,3XL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,Size,4XL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,Size,5XL
loosen-lace-spring-dresses,Flower Printing Long Sleeve Dress,,Black,Size,S
loosen-lace-spring-dresses,Flower Printing Long Sleeve Dress,,Black,Size,M
loosen-lace-spring-dresses,Flower Printing Long Sleeve Dress,,Black,Size,L
loosen-lace-spring-dresses,,Color,Black,Size,XL
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,,Black,Size,2XL
