,Option1 Value,Option2 Value
0,Color,Size
1,Color,Size
2,Color,Size
3,Color,Size
4,Color,Size
5,Color,Size
6,Color,Size
7,Color,Size
8,Color,Size
9,Color,Size
10,Color,Size
11,Color,Size
12,Color,Size
13,Color,Size
14,Color,Size
15,Color,Size
16,Color,Size
17,Color,Size
18,Color,Size
19,Color,Size
20,Color,Size
21,Color,Size
22,Color,Size
23,Color,Size
24,Color,Size
25,Color,Size
26,Color,Size
27,Color,Size
28,Color,Size
29,Color,Size
30,Color,Size
31,Color,Size
32,Color,Size
33,Color,Size
34,Color,Size
35,Color,Size
36,Color,Size
37,Color,Size
38,Color,Size
39,Color,Size
40,Color,Size
41,Color,Size
42,Color,Size
43,Color,Size
44,Color,Size
45,Color,Size
46,Color,Size
47,Color,Size
48,Color,Size
49,Color,Size
50,Color,Size
51,Color,Size
52,Color,Size
53,Color,Size
54,Color,Size
55,Color,Size
56,Color,Size
57,Color,Size
58,Color,Size
59,Color,Size
60,Color,Size
61,Color,Size
62,Color,Size
63,Color,Size
64,Color,Size
65,Color,Size
66,Color,Size
67,Color,Size
68,Color,Size
69,Color,Size
70,Color,Size
71,Color,Size
72,Color,Size
73,Color,Size
74,Color,Size
75,Color,Size
76,Color,Size
77,Color,Size
78,Color,Size
79,Color,Size
80,Color,Size
81,Color,Size
82,Color,Size
83,Color,Size
84,Color,Size
85,Color,Size
86,Color,Size
87,Color,Size
88,Color,Size
89,Color,Size
90,Color,Size
91,Color,Size
92,Color,Size
93,Color,Size
94,Color,Size
95,Color,Size
