Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,Color,Light brown,Size,S
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,,Light brown,,M
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,,Light brown,,L
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,,Light brown,,XL
floral-print-o-neck-maxi-dress,Floral Print O Neck Maxi Dress,,Light brown,,XXL
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,,Blue,,S
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,Color,Blue,Size,M
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,,Blue,,L
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,,Blue,,XL
long-sleeve-flower-print-loose-dress,Long Sleeve Flower Print Loose Dress,,Blue,,XXL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,,S
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,,M
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,Color,Black,Size,L
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,,XL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,,XXL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,,3XL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,,4XL
flower-printing-long-sleeve-dress,Flower Printing Long Sleeve Dress,,Black,,5XL
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,,Black,,S
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,,Black,,M
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,,Black,,L
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,Color,Black,Size,XL
loosen-lace-spring-dresses,Loosen Lace Spring Dresses,,Black,,2XL
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,,Blue,,S
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,,Blue,,M
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,,Blue,,L
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,,Blue,,XL
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,Color,Blue,Size,2XL
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,,Blue,,3XL
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,,Blue,,4XL
vintage-floral-mosaic-holiday-long-sleeve-dress,Vintage Floral Mosaic Holiday Long Sleeve Dress,,Blue,,5XL
leopard-print-maxi-dress,Leopard Print Maxi Dress,,Blue,,S
leopard-print-maxi-dress,Leopard Print Maxi Dress,,Blue,,M
leopard-print-maxi-dress,Leopard Print Maxi Dress,,Blue,,L
leopard-print-maxi-dress,Leopard Print Maxi Dress,,Blue,,XL
leopard-print-maxi-dress,Leopard Print Maxi Dress,,Blue,,2XL
leopard-print-maxi-dress,Leopard Print Maxi Dress,Color,Blue,Size,3XL
leopard-print-maxi-dress,Leopard Print Maxi Dress,,Blue,,4XL
leopard-print-maxi-dress,Leopard Print Maxi Dress,,Blue,,5XL
never-letting-go-white-shirtdress,Never Letting Go White Shirtdress,,White,,S
never-letting-go-white-shirtdress,Never Letting Go White Shirtdress,,White,,M
never-letting-go-white-shirtdress,Never Letting Go White Shirtdress,,White,,L
never-letting-go-white-shirtdress,Never Letting Go White Shirtdress,,White,,XL
never-letting-go-white-shirtdress,Never Letting Go White Shirtdress,,White,,2XL
vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Vintage Elegant Floral Long Sleeves A-line Casual Dresses,,Brown,,S
vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Vintage Elegant Floral Long Sleeves A-line Casual Dresses,Color,Brown,Size,M
vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Vintage Elegant Floral Long Sleeves A-line Casual Dresses,,Brown,,L
vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Vintage Elegant Floral Long Sleeves A-line Casual Dresses,,Brown,,XL
vintage-floral-long-sleeves-dresses,Vintage Floral Long Sleeves Dresses,,Blue,,S
vintage-floral-long-sleeves-dresses,Vintage Floral Long Sleeves Dresses,,Blue,,M
vintage-floral-long-sleeves-dresses,Vintage Floral Long Sleeves Dresses,,Blue,,L
vintage-floral-long-sleeves-dresses,Vintage Floral Long Sleeves Dresses,Color,Blue,Size,XL
vintage-floral-long-sleeves-dresses,Vintage Floral Long Sleeves Dresses,,Blue,,XXL
vintage-floral-long-sleeves-dresses,Vintage Floral Long Sleeves Dresses,,Blue,,3XL
